Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
45,110,150,90.65,18.99509642527979,1.37,2.3259554377159706,-10.90%
45,110,165,82.2,17.860315065717213,1.26,2.210902763270378,-11.01%
45,110,180,76.58,17.155212073918747,1.19,2.137558184425751,-11.06%
45,110,195,71.23,16.449389985549256,1.11,2.0553843273217303,-11.12%
45,110,210,58.25,14.132936423833687,0.88,1.7623378281914395,-11.10%
45,110,225,50.87,12.806675501687813,0.75,1.5787979882904022,-11.05%
45,110,240,48.94,12.615011136298593,0.73,1.5354874277529322,-11.07%
45,120,150,91.33,19.10933824911314,1.39,2.379266707771653,-11.05%
45,120,165,83.85,18.15171745758748,1.29,2.2826507350584433,-11.00%
45,120,180,79.38,17.66956471716781,1.25,2.257137203265436,-10.95%
45,120,195,72.64,16.720103118879837,1.15,2.14424589889464,-10.79%
45,120,210,59.13,14.315361506360102,0.91,1.8313346636614523,-10.77%
45,120,225,51.99,13.051421538895625,0.78,1.6586375273672895,-10.72%
45,120,240,50.04,12.862410868631823,0.77,1.6134610535369385,-10.72%
45,130,150,93.15,19.41365076577226,1.42,2.404837557266761,-11.31%
45,130,165,86.13,18.55127390593594,1.33,2.3202615412372616,-11.13%
45,130,180,81.69,18.089562033722494,1.29,2.295543959123544,-11.07%
45,130,195,75.0,17.16968644479351,1.19,2.1846137925848397,-10.96%
45,130,210,61.53,14.809260498357958,0.96,1.8802234173626144,-10.87%
45,130,225,53.61,13.403183301881594,0.82,1.693540099521298,-10.68%
45,130,240,51.56,13.202186311786178,0.8,1.6488297432720083,-10.69%
45,140,150,94.69,19.669514165127254,1.45,2.45745532043619,-11.10%
45,140,165,87.54,18.796592706760528,1.36,2.3684181310619272,-10.92%
45,140,180,83.36,18.39080295124813,1.32,2.3502428354570783,-10.85%
45,140,195,76.45,17.443761908892498,1.23,2.2368491060110367,-10.74%
45,140,210,62.59,15.025736671797606,0.98,1.921889154931798,-10.70%
45,140,225,54.75,13.64915021018751,0.84,1.7386387551234275,-10.65%
45,140,240,52.8,13.477604701212087,0.83,1.6989803087123114,-10.65%
45,150,150,96.2,19.918961716515593,1.49,2.5360323141449803,-11.52%
45,150,165,88.87,19.026768360867763,1.39,2.4381607072669644,-11.34%
45,150,180,86.62,18.97319646938529,1.39,2.4934603322935516,-11.28%
45,150,195,79.3,17.97779141422189,1.29,2.3697067960603855,-11.17%
45,150,210,64.32,15.376893838528694,1.03,2.021897303073836,-11.08%
45,150,225,56.92,14.113832777077118,0.9,1.84836730444004,-10.81%
45,150,240,54.89,13.938289238373457,0.88,1.8073884617243792,-10.99%
45,160,150,94.03,19.79117372770571,1.48,2.512639225892423,-11.37%
